NUTS, Total Population
FRI31,350097
FRI32,659796
FRI33,374013
FRI34,439860
FRJ11,379734
FRJ12,752996
FRJ13,1219633
FRJ14,76493
FRJ15,485597
FRJ21,152954
FRJ22,280093
FRJ23,1454553
FRJ24,192195
FRJ25,174371
FRJ26,231028
FRJ27,393149
FRJ28,264213
FRK11,331383
FRK12,143118
FRK13,226918
FRK14,672186
FRK21,665111
FRK22,330957
FRK23,524120
FRK24,1286707
FRK25,767020
FRK26,1912830
FRK27,442218
FRK28,850931
FRL01,165376
FRL02,141056
FRL03,1104473
FRL04,2062290
FRL05,1095938
FRL06,562622
FRM01,162064
FRM02,187034
GE000,3713957
GG000,64072
GI000,33725
HR021,103256
HR022,71114
HR023,64002
HR024,133252
HR025,265381
HR026,145796
HR027,112565
HR028,141192
HR031,277364
HR032,43378
HR033,165977
HR034,97095
HR035,442466
HR036,208000
HR037,121534
HR050,801265
HR061,107483
HR062,163273
HR063,103866
HR064,122607
HR065,306218
HU110,1712932
HU120,1315567
HU211,418040
HU212,298690
HU213,339724
HU221,478141
HU222,253105
HU223,264350
HU231,355080
HU232,299444
HU233,211958
HU311,628715
HU312,290544
HU313,186349
HU321,524480
HU322,361477
HU323,541475
HU331,498142
HU332,324218
HU333,393812
IE041,420541
IE042,480362
IE051,499549
IE052,451481
IE053,732376
IE061,1450587
IE062,751756
IE063,312998
IM000,86995
IS000,378570
ITC11,2210011
ITC12,166164
ITC13,169925
ITC14,154620
ITC15,362834
ITC16,582485
ITC17,208384
ITC18,407993
ITC20,123617
ITC31,209122
ITC32,268301
ITC33,817749
ITC34,215412
ITC41,880547
ITC42,596279
ITC43,333323
ITC44,178686
ITC46,1106045
ITC47,1258104
ITC48,536225
ITC49,227744
ITC4A,352261
ITC4B,405484
ITC4C,3246692
ITC4D,872880
ITF11,289003
ITF12,300100
ITF13,314262
ITF14,373248
ITF21,80241
ITF22,210930
ITF31,902915
ITF32,263814
ITF33,2973623
ITF34,400401
ITF35,1062696
ITF43,559334
ITF44,380746
ITF45,774141
ITF46,599133
ITF47,1227843
ITF48,380182
ITF51,348827
ITF52,192127
ITF61,672567
ITF62,161915
ITF63,342713
ITF64,150959
ITF65,519912
ITG11,416099
ITG12,1202070
ITG13,601302
ITG14,413179
ITG15,250881
ITG16,156224
ITG17,1071449
ITG18,316110
ITG19,384616
ITG2D,475319
ITG2E,199661
ITG2F,420848
ITG2G,151053
ITG2H,335704
ITH10,537608
ITH20,543882
ITH31,929952
ITH32,855259
ITH33,198972
ITH34,878996
ITH35,841445
ITH36,933600
ITH37,229577
ITH41,311073
ITH42,519007
ITH43,139047
ITH44,231347
ITH51,284814
ITH52,451538
ITH53,525420
ITH54,704886
ITH55,1018946
ITH56,341643
ITH57,387140
ITH58,392602
ITH59,337859
ITI11,188779
ITI12,382796
ITI13,290028
ITI14,997325
ITI15,265107
ITI16,327415
ITI17,418462
ITI18,335419
ITI19,262617
ITI1A,217551
ITI21,642732
ITI22,218696
ITI31,352921
ITI32,462814
ITI33,305897
ITI34,202795
ITI35,168838
ITI41,308385
ITI42,151072
ITI43,4234741
ITI44,567582
ITI45,469314
JE000,103324
LI000,38376
LT011,810079
LT021,133922
LT022,563339
LT023,321014
LT024,134665
LT025,209875
LT026,258131
LT027,89641
LT028,130005
LT029,123988
LU000,645348
LV003,232042
LV005,245600
LV006,602491
LV007,383166
LV008,179778
LV009,223899
MC000,39042
MD000,2599505
ME000,620489
MK000,2068300
MT001,481717
MT002,34587
NL111,136547
NL112,45292
NL113,407953
NL124,323222
NL125,141747
NL126,188578
NL131,193581
NL132,168980
NL133,134964
NL211,379750
NL212,157968
NL213,633368
NL221,706863
NL224,250928
NL225,403005
NL226,748850
NL230,435167
NL310,1369379
NL321,380776
NL323,199294
NL324,231061
NL325,173373
NL328,252625
NL32C,239813
NL32D,1431979
NL332,896532
NL333,236484
NL337,434398
NL33A,374766
NL33B,340384
NL33C,1470410
NL341,105004
NL342,281430
NL411,639617
NL412,497244
NL413,664266
NL414,790929
NL421,285041
NL422,238872
NL423,593234
NO020,372507
NO060,476390
NO071,240833
NO074,242324
NO081,702651
NO082,1277770
NO091,426930
NO092,312709
NO0A1,488124
NO0A2,643852
NO0A3,266693
PL213,793803
PL214,753374
PL217,464248
PL218,548041
PL219,347280
PL21A,549963
PL224,507550
PL225,672005
PL227,633816
PL228,437859
PL229,465073
PL22A,725141
PL22B,671064
PL22C,402446
PL411,411026
PL414,659661
PL415,536683
PL416,671809
PL417,563042
PL418,696314
PL424,400830
PL426,356912
PL427,423041
PL428,518758
PL431,383632
